,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
843-868,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",BAD,exclude 855,"bins = [[5834,5849],[6840,6885],[6240,6270],[6010,6040],[5940,5960],[7375,7475]]","[[5834,5849],[6840,6885]]",,"[[6240,6270],[6010,6040]]","[[5940,5960],[7375,7475]]",
869-893,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",GOOD,change in T0,"bins = [[5834,5849],[6840,6885],[6240,6270],[6010,6040],[5940,5960],[7375,7475]]","[[5834,5849],[6840,6885]]",,"[[6240,6270],[6010,6040]]","[[5940,5960],[7375,7475]]",
894-918,25,CO2,4,"10,12,14",14,ON,"2.55:1.05:-0.125, 1.112:2.487:0.125",GOOD,,"bins = [[5834,5849],[6840,6885],[6240,6270],[6010,6040],[5940,5960],[7375,7475]]","[[5834,5849],[6840,6885]]",,"[[6240,6270],[6010,6040]]","[[5940,5960],[7375,7475]]",
919,1,He,x,"10,12,14",x,OFF,x,,,,,,,,
920-944,25,He,4,"10,12,14",14,ON,"2.55:1.05:-0.125, 1.112:2.487:0.125",,,"bins = [[5840,5870],[6268,6325]]",,,,,"[[5840,5870],[6268,6325]]"
945-970,25,He,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 966,"bins = [[5840,5870],[6268,6325]]",,,,,"[[5840,5870],[6268,6325]]"
971,1,Ne,x,"10,12,14",x,OFF,x,,,,,,,,
972-996,25,Ne,6,"10,12,14",x,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,change T0,"bins = [[5835,5890],[6290,6360]]",,,,,"[[5835,5890],[6290,6360]]"
997-1022,25,Ne,4,"10,12,14",14,ON,"2.55:1.05:-0.125, 1.112:2.487:0.125",,exclude 1015,"bins = [[5835,5890],[6290,6360]]",,,,,"[[5835,5890],[6290,6360]]"
1023,1,CO2,x,"10,12,14",x,OFF,x,,,,,,,,
1024-1037,14,CO2,4,"10,12,14",14,ON,?,BAD,,,,,,,
1038,1,CO2,x,"10,12,14",x,OFF,x,,change retardation,,,,,,
1039-1063,25,CO2,4,"10,12,14",14,ON,"2.55:1.05:-0.125, 1.112:2.487:0.125",GOOD,,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
1064-1088,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
1089-1113,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
